global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc,date
14406,134.0,2025-11-23 03:29:42,14406,"东华二路,  (江门市东华二路)",https://aqicn.org/city/guangdong/jiangmenshi/donghuaerlu,22.596364,113.09837,127,pm25,127.0,54.0,27.7,20.2,6.1,7.3,21.5,60.0,1021.0,5.1,13.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:46,2025-11-23
14409,82.0,2025-11-23 03:29:42,14409,"梅江月梅,  (梅州市梅江月梅)",https://aqicn.org/city/guangdong/meizhoushi/meijiangyuemei,24.3289,116.1278,82,pm25,82.0,48.0,19.5,11.5,4.1,5.5,22.0,49.0,1021.0,0.5,11.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:17,2025-11-23
14411,124.0,2025-11-23 03:29:42,14411,"文华路边站,  (佛山市文华路边站)",https://aqicn.org/city/guangdong/fushanshi/wenhualubianzhan,23.0097,113.1291,119,pm25,119.0,63.0,23.6,32.5,5.6,5.5,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:39:15,2025-11-23
14428,122.0,2025-11-23 03:29:42,14428,"观湖子站, Shenzhen (龙华区 观湖街道)",https://aqicn.org/city/shenzhen/guanhuzizhan,22.7008,114.063141,95,pm25,95.0,57.0,32.9,21.1,5.1,6.4,23.4,50.0,1019.6,1.0,12.4,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:56,2025-11-23
14466,78.0,2025-11-23 03:29:42,14466,"赤石中学, Shenzhen (深汕合作区 赤石镇)",https://aqicn.org/city/shenzhen/chishizhongxue,22.97944,115.08611,68,pm25,68.0,30.0,34.6,4.2,5.6,5.5,23.3,49.0,1019.0,3.0,12.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:44,2025-11-23
14472,85.0,2025-11-23 03:29:42,14472,"小漠子站, Shenzhen (深汕合作区 小漠镇)",https://aqicn.org/city/shenzhen/xiaomozizhan,22.78084,115.04496,82,pm25,82.0,42.0,42.7,6.4,4.6,4.6,23.8,67.0,1019.1,1.0,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:36,2025-11-23
14473,91.0,2025-11-23 03:29:42,14473,"鲘门子站, Shenzhen (深汕合作区 鲘门镇)",,22.808889,115.161944,112,pm25,112.0,55.0,37.4,8.7,5.1,6.4,23.3,49.0,1019.0,3.0,12.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 04:38:59,2025-11-23
14476,70.0,2025-11-23 03:29:42,14476,"从化良口, Guangzhou (广州从化良口)",https://aqicn.org/city/guangdong/guangzhou/conghualiangkou,23.7372,113.7861,72,pm25,72.0,26.0,,4.6,4.1,5.5,24.0,35.0,1021.0,1.5,8.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:39:17,2025-11-23
14517,82.0,2025-11-23 03:29:42,14517,"City EPA, Pu'er (普洱市环保局)",https://aqicn.org/city/china/puer/shihuanbaoju,22.7633,100.98,59,pm25,59.0,30.0,19.9,2.8,2.1,2.8,15.9,74.1,865.6,1.0,11.3,99.6,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:39:16,2025-11-23
14524,55.0,2025-11-23 03:29:42,14524,"青年创业园, Kunming (昆明青年创业园)",https://aqicn.org/city/china/kunming/qingnianchuangyeyuan,24.8336,102.8017,74,pm25,74.0,17.0,26.4,2.3,2.1,1.9,13.0,62.0,1027.0,6.6,6.0,,,2025-11-23 12:00:00,+08:00,1763899200,2025-11-23 04:38:22,2025-11-23
