station_idx,station_name,lat,lon,station_time,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,aqi_next1h,aqi_lag1,aqi_lag3,pm25_lag1,pm10_lag1,t_lag1,h_lag1
1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",20.0053,110.283,2025-11-23 12:00:00,85,85.0,49.0,58.4,6.0,5.6,3.7,24.0,60.0,1020.0,5.6,85.0,87.0,,87.0,49.0,24.0,60.0
1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",20.0053,110.283,2025-11-23 12:00:00,85,85.0,49.0,58.4,6.0,5.6,3.7,24.0,60.0,1020.0,5.6,85.0,85.0,87.0,85.0,49.0,24.0,60.0
1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",20.0053,110.283,2025-11-23 12:00:00,85,85.0,49.0,58.4,6.0,5.6,3.7,24.0,60.0,1020.0,5.6,85.0,85.0,87.0,85.0,49.0,24.0,60.0
1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",20.0053,110.283,2025-11-23 12:00:00,85,85.0,49.0,58.4,6.0,5.6,3.7,24.0,60.0,1020.0,5.6,82.0,85.0,85.0,85.0,49.0,24.0,60.0
1343,"Hainan Normal University, Haikou (海口海南师范大学)",19.9969,110.338,2025-11-23 11:00:00,82,82.0,46.0,53.2,7.4,4.6,4.6,24.0,60.0,1020.0,5.6,78.0,82.0,,82.0,46.0,24.0,60.0
1343,"Hainan Normal University, Haikou (海口海南师范大学)",19.9969,110.338,2025-11-23 12:00:00,78,78.0,49.0,64.3,5.5,4.6,4.6,24.0,60.0,1020.0,5.6,78.0,82.0,,82.0,46.0,24.0,60.0
1343,"Hainan Normal University, Haikou (海口海南师范大学)",19.9969,110.338,2025-11-23 12:00:00,78,78.0,49.0,64.3,5.5,4.6,4.6,24.0,60.0,1020.0,5.6,78.0,78.0,82.0,78.0,49.0,24.0,60.0
1343,"Hainan Normal University, Haikou (海口海南师范大学)",19.9969,110.338,2025-11-23 12:00:00,78,78.0,49.0,64.3,5.5,4.6,4.6,24.0,60.0,1020.0,5.6,78.0,78.0,82.0,78.0,49.0,24.0,60.0
1343,"Hainan Normal University, Haikou (海口海南师范大学)",19.9969,110.338,2025-11-23 12:00:00,78,78.0,49.0,64.3,5.5,4.6,4.6,24.0,60.0,1020.0,5.6,85.0,78.0,78.0,78.0,49.0,24.0,60.0
1502,Quanzhou (泉州),24.874699,118.675464,2025-11-23 11:00:00,76,76.0,50.0,38.2,8.7,2.1,4.6,23.0,53.0,1021.0,1.5,70.0,76.0,,76.0,50.0,23.0,53.0
1502,Quanzhou (泉州),24.874699,118.675464,2025-11-23 12:00:00,70,70.0,44.0,41.9,6.9,1.6,4.6,24.0,53.0,1020.0,1.5,70.0,76.0,,76.0,50.0,23.0,53.0
1502,Quanzhou (泉州),24.874699,118.675464,2025-11-23 12:00:00,70,70.0,44.0,41.9,6.9,1.6,4.6,24.0,53.0,1020.0,1.5,70.0,70.0,76.0,70.0,44.0,24.0,53.0
1502,Quanzhou (泉州),24.874699,118.675464,2025-11-23 12:00:00,70,70.0,44.0,41.9,6.9,1.6,4.6,24.0,53.0,1020.0,1.5,70.0,70.0,76.0,70.0,44.0,24.0,53.0
1502,Quanzhou (泉州),24.874699,118.675464,2025-11-23 12:00:00,70,70.0,44.0,41.9,6.9,1.6,4.6,24.0,53.0,1020.0,1.5,63.0,70.0,70.0,70.0,44.0,24.0,53.0
1539,Shenzhen (深圳),22.543099,114.057868,2025-11-23 11:00:00,122,122.0,57.0,46.3,20.2,5.1,7.3,24.0,70.0,1021.0,3.6,107.0,122.0,,122.0,57.0,24.0,70.0
1539,Shenzhen (深圳),22.543099,114.057868,2025-11-23 12:00:00,107,107.0,56.0,58.4,14.2,6.1,6.4,25.0,67.0,1020.0,2.5,107.0,122.0,,122.0,57.0,24.0,70.0
1539,Shenzhen (深圳),22.543099,114.057868,2025-11-23 12:00:00,107,107.0,56.0,58.4,14.2,6.1,6.4,25.0,67.0,1020.0,2.5,107.0,107.0,122.0,107.0,56.0,25.0,67.0
1539,Shenzhen (深圳),22.543099,114.057868,2025-11-23 12:00:00,107,107.0,56.0,58.4,14.2,6.1,6.4,25.0,67.0,1020.0,2.5,107.0,107.0,122.0,107.0,56.0,25.0,67.0
1539,Shenzhen (深圳),22.543099,114.057868,2025-11-23 12:00:00,107,107.0,56.0,58.4,14.2,6.1,6.4,25.0,67.0,1020.0,2.5,114.0,107.0,107.0,107.0,56.0,25.0,67.0
1540,Zhuhai (珠海),22.270715,113.576726,2025-11-23 11:00:00,151,151.0,62.0,31.7,23.8,5.1,7.3,24.0,60.0,1021.0,5.1,127.0,151.0,,151.0,62.0,24.0,60.0
1540,Zhuhai (珠海),22.270715,113.576726,2025-11-23 12:00:00,127,127.0,57.0,43.9,22.0,5.1,6.4,25.0,56.0,1020.0,4.6,127.0,151.0,,151.0,62.0,24.0,60.0
