uid,lat,lon,aqi,tile_lat1,tile_lon1,tile_lat2,tile_lon2,snapshot_utc
11966,-39.545889327778,176.91912705143,70.0,-40,160,-20,180,2025-11-23 03:29:42
11967,-39.638873262,176.85880199271,30.0,-40,160,-20,180,2025-11-23 03:29:42
14877,-39.6778,175.80084,13.0,-40,160,-20,180,2025-11-23 03:29:42
7577,-11.98164,-76.99925,67.0,-20,-80,0,-60,2025-11-23 03:29:42
7581,-11.86325,-77.07413,,-20,-80,0,-60,2025-11-23 03:29:42
10687,-0.25,-78.51,51.0,-20,-80,0,-60,2025-11-23 03:29:42
6943,-0.095472,-78.449809,38.0,-20,-80,0,-60,2025-11-23 03:29:42
4982,-18.47683929771,-70.287911433372,17.0,-20,-80,0,-60,2025-11-23 03:29:42
13853,-1.936231,30.077951,65.0,-20,20,0,40,2025-11-23 03:29:42
14718,-12.761174,45.226197,28.0,-20,40,0,60,2025-11-23 03:29:42
13653,-7.731,110.354,,-20,100,0,120,2025-11-23 03:29:42
8289,-1.6318964,103.6414547,,-20,100,0,120,2025-11-23 03:29:42
13650,-5.17,105.178,,-20,100,0,120,2025-11-23 03:29:42
8292,-3.475,114.856,,-20,100,0,120,2025-11-23 03:29:42
8293,-0.4825,117.1563,,-20,100,0,120,2025-11-23 03:29:42
8342,-2.22611,113.945,,-20,100,0,120,2025-11-23 03:29:42
13841,-4.997,119.57,,-20,100,0,120,2025-11-23 03:29:42
13644,-3.865,102.312,,-20,100,0,120,2025-11-23 03:29:42
13655,-0.14,109.45,,-20,100,0,120,2025-11-23 03:29:42
13647,-7.9551897,112.6119383,,-20,100,0,120,2025-11-23 03:29:42
13645,-3.3,116.17,,-20,100,0,120,2025-11-23 03:29:42
8294,-6.155,106.846,,-20,100,0,120,2025-11-23 03:29:42
13651,-6.985,110.381,,-20,100,0,120,2025-11-23 03:29:42
10490,-2.676583,111.626448,,-20,100,0,120,2025-11-23 03:29:42
14903,-2.94,104.7,,-20,100,0,120,2025-11-23 03:29:42
11755,-0.251,100.382,,-20,100,0,120,2025-11-23 03:29:42
6442,-12.424323299931126,130.89335024356842,,-20,120,0,140,2025-11-23 03:29:42
10148,-12.467003,130.850577,,-20,120,0,140,2025-11-23 03:29:42
13767,-14.465331,132.270787,,-20,120,0,140,2025-11-23 03:29:42
13654,-0.8634105,131.2544805,,-20,120,0,140,2025-11-23 03:29:42
5125,-19.5839,147.4059,35.0,-20,140,0,160,2025-11-23 03:29:42
10727,-19.2509,146.8073,33.0,-20,140,0,160,2025-11-23 03:29:42
14899,-16.96162,145.7436,15.0,-20,140,0,160,2025-11-23 03:29:42
5270,19.71756222,-155.1105295,17.0,0,-160,20,-140,2025-11-23 03:29:42
5267,19.117561,-155.77813,9.0,0,-160,20,-140,2025-11-23 03:29:42
5269,19.2039,-155.4801833,9.0,0,-160,20,-140,2025-11-23 03:29:42
13227,19.618158,-155.971242,55.0,0,-160,20,-140,2025-11-23 03:29:42
13224,19.611914,-155.055037,21.0,0,-160,20,-140,2025-11-23 03:29:42
5727,19.702153,-101.190948,80.0,0,-120,20,-100,2025-11-23 03:29:42
10167,19.317583333333,-98.237305555556,,0,-100,20,-80,2025-11-23 03:29:42
11773,19.34561,-99.009381,80.0,0,-100,20,-80,2025-11-23 03:29:42
407,19.325146,-99.204136,91.0,0,-100,20,-80,2025-11-23 03:29:42
6965,13.70630556,-89.20011667,,0,-100,20,-80,2025-11-23 03:29:42
398,19.658223,-99.09659,75.0,0,-100,20,-80,2025-11-23 03:29:42
396,19.270192914173,-99.595307048355,57.0,0,-100,20,-80,2025-11-23 03:29:42
