lat,lon,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,date
19.095361,108.651775,74,74.0,41.0,48.4,4.2,1.1,2.7,21.6,79.0,1017.6,5.0,,99.4,2025-11-23
18.775147,109.516925,34,21.0,10.0,34.2,2.8,3.1,4.9,27.0,57.0,1018.0,2.5,,,2025-11-23
19.258404,110.47465,82,82.0,42.0,48.8,6.0,2.6,4.7,24.0,60.0,1020.0,5.6,,,2025-11-23
19.6208,110.7477,93,93.0,53.0,42.3,7.4,3.6,5.6,24.0,60.0,1020.0,5.6,16.0,,2025-11-23
19.76,110.006,87,87.0,52.0,44.7,6.4,2.1,4.1,24.0,60.0,1020.0,5.6,16.0,,2025-11-23
19.91205,109.69053,85,85.0,54.0,52.6,5.1,3.1,2.6,24.0,60.0,1020.0,5.6,16.0,,2025-11-23
18.50844,110.03572,50,50.0,20.0,41.5,2.8,2.6,1.6,27.0,57.0,1018.0,2.5,18.0,,2025-11-23
21.33847,105.3673,59,59.0,38.0,18.0,2.0,16.0,6.0,23.0,56.0,1022.0,2.0,14.0,,2025-11-23
12.97378333,101.21285,59,59.0,58.0,0.4,4.1,0.6,0.1,26.3,11.5,1009.2,4.1,-6.0,0.2,2025-11-23
13.5502631,100.2647676,76,76.0,33.0,2.8,7.5,2.7,,26.3,11.2,1014.8,1.0,-6.3,99.1,2025-11-23
13.5234,99.814082,80,80.0,25.0,7.1,2.9,0.6,0.1,26.5,58.9,1015.0,2.5,17.8,99.1,2025-11-23
18.224495,109.62038,59,59.0,38.0,35.8,1.9,3.6,2.9,27.0,57.0,1018.0,2.5,18.0,,2025-11-23
18.8297,110.3979,72,72.0,39.0,33.3,4.6,2.6,5.3,21.2,82.0,1016.4,2.0,18.0,99.2,2025-11-23
22.735,108.328,144,144.0,71.0,18.7,18.8,4.6,8.2,22.0,46.0,1023.0,1.5,10.0,,2025-11-23
23.4794,111.26,99,99.0,63.0,13.9,18.8,11.2,4.6,13.7,82.1,1008.9,1.0,10.7,99.7,2025-11-23
21.6158,108.3411,102,102.0,54.0,39.0,6.0,4.6,2.8,22.3,49.1,1021.4,3.0,11.1,0.6,2025-11-23
21.6414,108.3506,102,102.0,53.0,41.5,6.9,5.1,5.5,22.3,49.1,1021.4,3.0,11.1,0.6,2025-11-23
21.9667,108.6236,91,91.0,68.0,32.1,11.5,4.6,10.9,22.0,46.0,1023.0,1.5,10.0,,2025-11-23
21.7431,108.5989,134,134.0,67.0,29.3,18.3,8.2,10.0,17.0,66.0,1015.6,2.0,10.6,99.2,2025-11-23
23.1036,109.5683,91,91.0,44.0,30.1,11.0,8.2,5.5,17.4,55.9,1006.5,3.0,8.5,99.1,2025-11-23
22.6164,110.1433,119,119.0,60.0,19.1,21.1,0.6,7.3,15.6,65.7,1003.5,1.0,9.2,99.4,2025-11-23
23.9011,106.6103,50,50.0,21.0,16.3,2.8,3.1,3.7,11.5,94.8,1002.7,1.0,10.7,99.3,2025-11-23
23.8844,106.6527,61,61.0,28.0,16.7,4.6,3.1,4.6,11.5,94.8,1002.7,1.0,10.7,99.3,2025-11-23
24.4072,111.5622,122,122.0,50.0,26.9,10.1,5.1,7.3,9.2,94.7,1008.9,1.0,8.4,99.8,2025-11-23
24.6967,108.1009,80,80.0,45.0,18.7,8.3,4.1,4.6,13.3,77.8,991.0,1.0,9.5,99.1,2025-11-23
23.8822,100.0869,65,65.0,15.0,12.6,3.2,3.1,6.4,8.4,96.0,840.1,1.0,7.8,99.1,2025-11-23
23.3594,104.2533,59,59.0,33.0,15.5,4.6,1.6,5.5,9.3,100.0,875.0,1.0,9.3,99.2,2025-11-23
23.3892,104.2319,87,87.0,32.0,15.1,1.9,1.1,2.8,9.3,100.0,875.0,1.0,9.3,99.2,2025-11-23
22.0019,100.7939,59,59.0,18.0,5.7,2.8,1.6,4.6,14.7,100.0,953.3,1.0,14.7,0.2,2025-11-23
24.428,98.5842,85,85.0,33.0,12.2,7.4,4.6,6.4,10.1,100.0,833.5,1.0,10.1,99.1,2025-11-23
23.3993,103.3772,80,80.0,28.0,26.9,4.2,2.6,2.8,9.3,100.0,875.0,1.0,9.3,99.2,2025-11-23
19.681434,110.358891,93,93.0,58.0,53.9,6.4,1.6,4.6,24.0,60.0,1020.0,5.6,,,2025-11-23
23.36313,103.374799,80,80.0,28.0,26.9,4.2,2.6,2.8,9.3,100.0,875.0,1.0,,99.2,2025-11-23
13.054551,101.098128,70,70.0,51.0,5.6,7.5,0.6,,25.7,11.3,1006.8,3.0,-6.6,0.1,2025-11-23
18.2508166,99.76395,61,61.0,11.0,8.7,1.2,0.6,0.1,19.6,14.2,988.6,0.5,-8.5,0.7,2025-11-23
18.4267833,99.7576333,60,60.0,12.0,0.8,1.2,0.6,0.1,19.6,14.2,988.6,0.5,-8.5,0.7,2025-11-23
19.5759666,101.0815166,71,71.0,70.0,3.2,1.8,1.1,0.1,20.5,13.0,993.0,3.0,-8.9,0.9,2025-11-23
18.29029,109.71186,42,42.0,29.0,35.0,4.2,2.1,3.6,27.0,57.0,1018.0,2.5,18.0,,2025-11-23
19.37706,110.1108,72,72.0,34.0,51.3,6.0,1.6,3.7,24.0,60.0,1020.0,5.6,16.0,,2025-11-23
18.403055,109.818054,80,80.0,30.0,41.5,2.8,3.1,4.6,27.0,57.0,1018.0,2.5,18.0,,2025-11-23
16.734413,98.566961,63,63.0,79.0,4.8,12.1,,0.1,25.8,10.0,1002.5,1.0,-8.1,99.2,2025-11-23
13.917563,101.590529,82,82.0,56.0,5.2,,,,22.5,13.3,1013.8,4.1,-7.0,0.1,2025-11-23
19.687157,100.19024,54,54.0,16.1,,,,,20.0,77.0,1021.0,1.5,16.0,,2025-11-23
19.858547,99.90148,46,46.0,13.1,,,,,20.0,77.0,1021.0,1.5,16.0,,2025-11-23
23.0528,114.4183,91,91.0,42.0,31.7,11.9,5.6,5.5,23.4,50.0,1019.6,1.0,12.4,,2025-11-23
23.7106,113.0208,102,102.0,50.0,30.9,15.6,5.1,5.5,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
23.65889,116.6183,80,80.0,58.0,30.9,9.2,5.1,5.5,22.0,49.0,1021.0,0.5,11.0,,2025-11-23
22.9539,112.0539,97,97.0,78.0,18.7,22.9,29.4,5.5,20.2,57.7,1015.5,1.0,11.6,99.6,2025-11-23
23.3682,103.3758,57,57.0,17.0,26.9,2.3,2.1,2.8,9.3,100.0,875.0,1.0,9.3,99.2,2025-11-23
14.022376,99.536195,79,79.0,47.0,6.7,,,0.1,21.0,86.2,1011.9,0.5,18.6,99.6,2025-11-23
6.624747,100.066159,49,49.0,21.0,6.4,1.8,0.6,0.1,25.0,94.0,1010.0,2.5,24.0,,2025-11-23
23.1771,120.4921,72,72.0,37.0,35.2,2.8,2.0,3.3,28.0,54.0,1019.0,0.5,18.0,,2025-11-23
23.955864,120.681667,65,65.0,28.0,8.0,5.6,1.5,,17.5,90.0,989.0,0.5,,,2025-11-23
23.550445,119.610741,55,55.0,36.0,44.0,1.9,3.8,,24.3,72.0,1019.7,4.9,19.0,,2025-11-23
22.90658,120.182561,102,102.0,62.0,,12.1,5.2,,24.9,70.0,1019.0,2.2,18.0,,2025-11-23
13.779873,100.646009,82,82.0,49.0,6.7,12.7,,,26.6,63.1,1013.9,2.0,19.0,99.1,2025-11-23
17.87748,102.728925,149,149.0,66.0,15.0,2.9,0.6,0.1,25.0,73.0,1019.0,3.0,20.0,,2025-11-23
13.428581,100.024664,81,81.0,49.0,7.1,4.1,0.6,0.1,25.4,11.4,1015.1,2.5,-6.8,99.1,2025-11-23
15.245413,104.846219,74,74.0,30.0,9.5,4.1,0.6,0.1,25.0,65.0,1016.0,5.1,18.0,,2025-11-23
23.57886111,119.6763056,53,46.0,53.0,,,,,24.3,72.0,1019.7,4.9,19.0,,2025-11-23
23.7133408,120.4306166,78,78.0,40.0,40.0,4.7,3.3,2.4,24.8,60.0,987.9,0.4,,,2025-11-23
21.1873402,106.0742958,39,39.0,23.0,7.0,,,2.0,23.0,56.0,1022.0,2.0,14.0,,2025-11-23
21.0832037,106.2807861,65,65.0,48.0,18.0,,19.0,,23.0,56.0,1022.0,2.0,14.0,,2025-11-23
22.526986,120.345858,134,134.0,62.0,33.6,25.1,6.9,7.2,28.3,60.0,1018.0,1.5,19.0,,2025-11-23
11.80027,99.790596,69,69.0,22.1,,,,,25.7,12.0,1002.7,3.6,-5.9,0.3,2025-11-23
7.570238,99.588743,62,62.0,30.0,,1.8,,0.1,25.0,94.8,1009.1,0.5,24.1,0.2,2025-11-23
8.426923,99.961469,37,37.0,20.0,,4.1,,0.1,24.8,98.2,1011.4,2.5,24.9,2.3,2025-11-23
17.412345,104.7786123,75,75.0,34.0,16.6,16.7,2.7,0.1,25.4,52.9,1000.4,1.0,15.1,99.0,2025-11-23
17.15662,104.133216,95,95.0,32.0,,,,,22.6,14.1,998.2,1.0,-6.2,99.2,2025-11-23
12.234862,102.523721,89,89.0,40.0,2.4,1.8,0.6,0.1,26.1,10.8,1010.7,2.5,-6.9,1.3,2025-11-23
14.476214,100.086095,105,105.0,51.0,5.2,4.1,0.6,0.1,25.0,11.7,1016.0,10.2,-6.7,0.3,2025-11-23
